batch,run,threads,timeout_ms,frames,publisher_time_s,publisher_avg_fps,stage_time_s,stage_fps,cb_avg_ms,pipeline_e2e_s,drava_overhead_s,drava_overhead_pct,gpu_avg_power_w,gpu_avg_util_pct,gpu_avg_mem_mib,gpu_energy_j,gpu_energy_j_per_frame,cpu_energy_source,cpu_energy_j,cpu_energy_j_per_frame,cpu_rapl_energy_j,total_energy_j,total_energy_j_per_frame
4,1,2,200,512,1.672,306.22,17.012838,30.09,131.858,17.640926110558212,0.6280881105582132,3.56040327260539,118.65227848101267,34.949367088607595,25223.0,2097.8965141916005,4.09745412928047,perf,,,,2097.8965141916005,4.09745412928047
4,2,2,200,512,1.604,319.22,16.834046,30.41,130.472,17.56498017720878,0.7309341772087805,4.161315127227954,117.32358974358974,35.30769230769231,25223.0,2037.6012341741564,3.979689910496399,perf,,,,2037.6012341741564,3.979689910496399
4,3,2,200,512,1.481,345.61,16.914874,30.27,131.099,17.5394823634997,0.6246083634997,3.5611561992247425,110.3475641025641,35.06410256410256,25223.0,1922.7164795267536,3.7553056240756906,perf,,,,1922.7164795267536,3.7553056240756906
4,4,2,200,512,1.6,319.92,16.631677,30.78,128.903,17.25112177245319,0.6194447724531891,3.5907506805866176,121.68662337662339,35.142857142857146,25223.0,2102.17932357539,4.105818991358183,perf,,,,2102.17932357539,4.105818991358183
4,5,2,200,512,1.433,357.28,16.987716,30.14,131.663,17.734169324859977,0.7464533248599778,4.209124832329138,114.69468354430379,34.44303797468354,25223.0,2028.6429750918833,3.9621933107263345,perf,,,,2028.6429750918833,3.9621933107263345
4,6,2,200,512,1.666,307.24,17.014629,30.09,131.872,17.614634660072625,0.6000056600726253,3.4062906875535024,109.05443037974683,35.0126582278481,25223.0,1928.0655967308487,3.765753118614939,perf,,,,1928.0655967308487,3.765753118614939
4,7,2,200,512,1.426,359.1,16.920219,30.26,131.141,17.564627880230546,0.6444088802305465,3.668787546338205,120.02269230769231,34.93589743589744,25223.0,2094.4028619817605,4.090630589808126,perf,,,,2094.4028619817605,4.090630589808126
4,8,2,200,512,1.532,334.24,16.789857,30.49,130.129,17.537032968364656,0.7471759683646546,4.260560892555187,110.13115384615384,35.53846153846154,25223.0,1912.7544013011318,3.735848440041273,perf,,,,1912.7544013011318,3.735848440041273
4,9,2,200,512,1.415,361.82,16.804877,30.47,130.246,17.829437325708568,1.024560325708567,5.746453502664585,109.63886075949367,35.075949367088604,25223.0,1926.9467515785811,3.7635678741769163,perf,,,,1926.9467515785811,3.7635678741769163
4,10,2,200,512,1.555,329.2,16.678405,30.7,129.265,17.287868278101087,0.6094632781010851,3.52538131536498,115.12454545454545,36.116883116883116,25223.0,1972.4931046550678,3.8525255950294293,perf,,,,1972.4931046550678,3.8525255950294293
